Бизнес Регион;Region;location.latitude;location.longitude
﻿Адыгея;Maikop;44.6062079;40.104053
АЗЕРБАЙДЖАН;Baku;40.3754434;49.8326748
Амурская обл;Blagoveshchensk;50.290527;127.527161
АРМЕНИЯ;Yerevan;40.1776121;44.5125849
Архангельск;Arkhangelsk;64.543022;40.537121
Барнаул;Barnaul;53.347402;83.7784496
БЕЛАРУСЬ;Minsk;53.902334;27.5618791
Белгород;Belgorod;50.5955595;36.5873394
БОЛГАРИЯ;Sofia;-15.2538402;48.2562163
Брянск;Bryansk;53.2423778;34.3668288
ВЕНГРИЯ;Budapest;47.48138955;19.14607278448202
Владивосток;Vladivostok;43.1150678;131.8855768
Владикавказ;Vladikavkaz;43.024593;44.68211
Волгоград;Volgograd;48.7081906;44.5153353
Воронеж;Voronezh;51.6605982;39.2005858
ГРУЗИЯ;Tbilisi;41.6934591;44.8014495
для ВОГ-Инвест;Balashikha;55.8036225;37.9646488
Домодедово;Domodedovo;55.4368213;37.7680693
Екатеринбург;Yekaterinburg;56.839104;60.60825
Жуковский;Zhukovsky;55.5972801;38.1199863
Зеленоград;Zelenograd;55.9964233;37.198534
Иваново;Ivanovo;56.9984452;40.9737394
Ижевск;Izhevsk;56.866557;53.2094166
ИРАК;Baghdad;33.3024309;44.3787992
ИРАН;Tehran;35.6892523;51.3896004
Иркутск;Irkutsk;52.289597;104.280586
Истра;Istra;45.193434499999995;13.915053587355306
Казань;Kazan;55.7823547;49.1242266
КАЗАХСТАН;Nur-Sultan;51.1282205;71.4306682
Калининград;Kaliningrad;54.710128;20.5105838
Калуга;Kaluga;54.5101087;36.2598115
Кемерово;Kemerovo;54.5335781;87.342861
Киров;Kirov;58.6035257;49.6639029
КИТАЙ;Beijing;39.9020803;116.7185213
Климовск;Klimovsk;55.3750272;37.5391108
Клин;Klin;56.3355601;36.7351318
Кострома;Kostroma;57.7679158;40.9269141
Красногорск;Krasnogorsk;55.821744;37.3404142
Краснодар;Krasnodar;45.0352566;38.9764814
Красноярск;Krasnodar;45.0352566;38.9764814
Курск;Kursk;51.739433;36.179604
КЫРГЫЗСТАН;Bishkek;42.8765615;74.6070079
ЛАТВИЯ;Riga;56.9493977;24.1051846
Липецк;Lipetsk;52.6041877;39.5936899
ЛИТВА;Vilnius;54.6870458;25.2829111
Люберцы;Lyubertsy;55.6783142;37.89377
Магадан;Magadan;59.5604768;150.7988617
МОЛДОВА;Kishinev;47.0245117;28.8322923
Москва и МО;Moscow;55.7504461;37.6174943
Мытищи;Mytishchi;55.9094928;37.7339358
Набережные Челны;Naberezhnye Chelny;55.7419774;52.399207
Нижний Новгород;Nizhny Novgorod;56.328571;44.003506
Новокузнецк;Novokuznetsk;53.757607;87.136101
Новосибирск;Novosibirsk;55.0282171;82.9234509
Ногинск;Noginsk;55.8553511;38.4411898
Омск;Omsk;54.991375;73.371529
Орел;Orel;52.9685433;36.0692477
Оренбург;Orenburg;51.767452;55.097118
Пенза;Penza;53.200001;45.0
Пермь;Perm;58.5951603;56.3159546
Петрозаводск;Petrozavodsk;61.790039;34.390007
ПОЛЬША;Warsaw;52.2319581;21.0067249
Псков;Pskov;57.817398;28.334368
Ростов;Rostov;47.2213858;39.7114196
Рязань;Ryazan;54.6295687;39.7425039
Самара;Samara;53.198627;50.113987
Санкт-Петербург;Saint-Peterburg;59.938732;30.316229
Саранск;Saransk;54.18671;45.18383
Саратов;Saratov;51.530018;46.034683
Сахалинская обл;Yuzhno-Sakhalinsk;46.9574273;142.727438
Свердловская обл;Nizhni Tagil;57.905149;59.9508466
СЕРБИЯ;Belgrad;44.8178131;20.4568974
Смоленск;Smolensk;54.77897005;32.04718121915615
Ставрополь;Stavropol;45.0433245;41.9690934
Сургут;Surgut;61.254032;73.3964
Сыктывкар;Syktyvkar;61.6685237;50.8352024
ТАДЖИКИСТАН;Dushanbe;38.5762709;68.7863573
Тверь;Tver;56.858675;35.9208284
Троицк;Troitsk;54.084549;61.551991
Тула;Tula;45.2678347;1.7706797
ТУРКМЕНИСТАН;Ashgabat;37.9404648;58.3823487
ТУРЦИЯ;Istanbul;41.0096334;28.9651646
Тюмень;Tyumen;57.153534;65.542274
Удмуртская Респ;Sarapul;56.477334;53.8192957
УЗБЕКИСТАН;Tashkent;41.3123363;69.2787079
УКРАИНА;Kiev;50.4500336;30.5241361
Ульяновск;Ulyanovsk;54.3107593;48.3642771
Уфа;Ufa;46.370935349999996;6.231168493722434
Хабаровский край;Komsomolsk-on-Amur;50.550877;137.020782
Химки;Khimki;55.8892847;37.4449896
Челябинск;Chelyabinsk;55.1598408;61.4025547
Череповец;Cherepovets;59.128696;37.916389
Шолохово;Sholokhovo;47.693333;34.026489
ЮЖНАЯ ОСЕТИЯ;Tskhinvali;42.2251222;43.9708477
Ярославль;Yaroslavl;57.6263877;39.8933705
